Date;Location;Latitude;Longitude;Operator;AC Type;Aboard;Aboard Passangers;Aboard Crew;Fatalities;Fatalities Passangers;Fatalities Crew;Ground;Summary;;;
09/17/1908;Fort Myer, Virginia;#CAMPO!;#CAMPO!;Military - U.S. Army;Wright Flyer III;2;1;1;1;1;0;0;During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.;;;
07/12/1912;Atlantic City;39,3606;-74,4319;Military - U.S. Navy;Dirigible;5;0;5;5;0;5;0;First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.;;;
08/06/1913;Vitória;48,4275;-123,3673;Private;Curtiss seaplane;1;0;1;1;0;1;0;The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.;;;
12/16/1918;Elizabeth;40,6619;-74,2117;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.;;;
05/25/1919;Cleveland;41,4822;-81,6697;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.;;;
07/19/1919;Mix Run;41,3398;-78,1966;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;The mail plane crashed under unknown circumstances.;;;
08/02/1919;Verona;45,4333;10,9833;Caproni Company;Caproni Ca.48;14;12;2;14;12;2;0;As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.;;;
10/02/1919;Newcastle upon Tyne;54,9667;-1,6000;Aircraft Transport and Travel;De Havilland DH-4;1;0;1;1;0;1;0;;;;
10/14/1919;Catonsville;39,2739;-76,7381;US Aerial Mail Service;Curtiss R-4LM;1;0;1;1;0;1;0;The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.;;;
10/20/1919;English Channel off Forkstone, Kent;#CAMPO!;#CAMPO!;Aircraft Transport and Travel;De Havilland DH-4;0;0;1;0;0;0;0;Crashed into the sea while attempting to land in fog.;;;
10/30/1919;Long Valley;40,7823;-74,7769;US Aerial Mail Service;De Havilland DH.4;1;0;1;1;0;1;0;While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.;;;
12/11/1919;Caterham;51,2820;-0,0781;Aircraft Travel Transport;de Havilland DH-4;1;1;1;1;1;1;0;Crashed in a field while attemptting to land.;;;
03/10/1920;New Paris;41,5000;-85,8333;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.;;;
03/30/1920;Newark;40,7242;-74,1726;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.;;;
04/10/1920;Newark;40,7242;-74,1726;US Aerial Mail Service;Curtiss R-4LM;2;1;1;1;0;1;0;After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.;;;
04/11/1920;Heller Field, New Jersey;#CAMPO!;#CAMPO!;US Aerial Mail Service;Curtiss JN-4H;2;1;1;1;0;1;0;The aircraft crashed while on approach for unknown reasons.;;;
05/12/1920;Oskaloosa;41,2962;-92,6450;US Aerial Mail Service;De Havilland DH-4;2;1;1;1;1;0;0;In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field.;;;
06/06/1920;Cleveland;41,4822;-81,6697;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;The aircraft suffered engine failure and crashed shortly after taking off.;;;
07/20/1920;Cartagena das Índias;10,4000;-75,5000;Companhia Colombiana de Navegacion Aerea;Farman F-40;1;1;1;1;1;1;0;Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.;;;
08/16/1920;Bedford;52,1337;-0,4577;By Air;Armstrong-Whitworth F-K-8;1;0;1;1;0;1;0;The plane crashed during a cargo flight under unknown circumstances.;;;
08/16/1920;College Park;38,9872;-76,9460;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.;;;
09/01/1920;Morristown;40,7966;-74,4773;US Aerial Mail Service;Junkers JL-6;2;0;2;2;0;2;0;While en route, the mail plane went out of control and crashed after experiencing an in flight fire.;;;
09/27/1920;Millersburg;40,5417;-76,9572;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.;;;
10/02/1920;Port-Vendres;42,5165;3,1055;Latecoere Airlines;Salmson 2-A-2;2;1;1;2;1;1;0;Crashed into the Mediterranean while on a mail flight.;;;
10/05/1920;Valência;39,4702;-0,3768;Latecoere Airlines;Breguet 14;2;1;1;2;1;1;0;While on a mail flight the plane crashed while attempting to land.;;;
10/15/1920;Batavia;41,8489;-88,3083;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;While attempting to land in fog the aircraft hit an obstruction and crashed.;;;
11/07/1920;Tie Siding;41,0801;-105,5078;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;The aircraft crashed into a mountain in poor weather condtions.;;;
12/14/1920;Londres;51,5002;-0,1262;Handley Page Transport;Handley Page HP-16;8;6;2;4;2;2;0;The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..;;;
12/24/1920;Barcelona;41,3879;2,1699;Aeropostale;Breguet 14;1;0;1;1;0;1;0;The aircraft stalled and crashed when an engine failed.;;;
02/03/1921;Mendota;44,8872;-93,1644;US Aerial Mail Service;De Havilland DH-4;1;0;1;1;0;1;0;Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.;;;
