date,location,operator,aboard,aboard_passangers,aboard_crew,fatalities,fatalities_passangers,fatalities_crew,ground,summary,country
1908-09-17 00:00:00,"Fort Myer, Virginia",Military - U.S. Army,2,1,1,1,1,0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",null
1912-07-12 00:00:00,"Atlantic City, New Jersey",Military - U.S. Navy,5,0,5,5,0,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.", Virginia
1913-08-06 00:00:00,"Victoria, British Columbia, Canada",Private,1,0,1,1,0,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.", New Jersey
1913-09-09 00:00:00,Over the North Sea,Military - German Navy,20,NULL,NULL,14,NULL,NULL,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,null
1913-10-17 00:00:00,"Near Johannisthal, Germany",Military - German Navy,30,NULL,NULL,30,NULL,NULL,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",null
1915-03-05 00:00:00,"Tienen, Belgium",Military - German Navy,41,NULL,NULL,21,NULL,NULL,0,Crashed into trees while attempting to land after being shot down by British and French aircraft., Germany
1915-09-03 00:00:00,"Off Cuxhaven, Germany",Military - German Navy,19,NULL,NULL,19,NULL,NULL,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.", Belgium
1916-07-28 00:00:00,"Near Jambol, Bulgeria",Military - German Army,20,NULL,NULL,20,NULL,NULL,0,"Crashed near the Black Sea, cause unknown.", Germany
1916-09-24 00:00:00,"Billericay, England",Military - German Navy,22,NULL,NULL,22,NULL,NULL,0,Shot down by British aircraft crashing in flames., Bulgeria
1916-10-01 00:00:00,"Potters Bar, England",Military - German Navy,19,0,19,19,0,19,0,Shot down in flames by the British 39th Home Defence Squadron., England
1916-11-21 00:00:00,"Mainz, Germany",Military - German Army,28,NULL,NULL,27,NULL,NULL,0,Crashed in a storm., England
1916-11-28 00:00:00,"Off West Hartlepool, England",Military - German Navy,20,NULL,NULL,20,NULL,NULL,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea., Germany
1917-03-04 00:00:00,"Near Gent, Belgium",Military - German Army,20,NULL,NULL,20,NULL,NULL,0,Caught fire and crashed., England
1917-03-30 00:00:00,Off Northern Germany,Military - German Navy,23,NULL,NULL,23,NULL,NULL,0,Struck by lightning and crashed into the Baltic Sea., Belgium
1917-05-14 00:00:00,"Near Texel Island, North Sea",Military - German Navy,21,NULL,NULL,21,NULL,NULL,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",null
1917-06-14 00:00:00,"Off Vlieland Island, North Sea",Military - German Navy,24,NULL,NULL,24,NULL,NULL,0,Shot down by British aircraft., North Sea
1917-08-21 00:00:00,Off western Denmark,Military - German Navy,18,NULL,NULL,18,NULL,NULL,0,Shot down by British aircraft., North Sea
1917-10-20 00:00:00,"Near Luneville, France",Military - German Navy,18,NULL,NULL,18,NULL,NULL,0,Shot down by French anti-aircraft fire.,null
1918-04-07 00:00:00,Over the Mediterranean,Military - German Navy,23,NULL,NULL,23,NULL,NULL,0,Exploded and crashed into the sea off the southern coast of Italy., France
1918-05-10 00:00:00,"Off Helgoland Island, Germany",Military - German Navy,22,NULL,NULL,22,NULL,NULL,0,"Shot down by British aircraft crashing from a height of 17,000 ft.",null
1918-08-11 00:00:00,"Ameland Island, North Sea",Military - German Navy,19,NULL,NULL,19,NULL,NULL,0,Shot down by british aircraft., Germany
